formula_id,artifact_key,reporting_tier,direction,fit_split,query_split,transform,methods_sentence,authoritative_source
OOD-7,analysis/angular_control_gap_ctm_ncp,exploratory,descriptive,id_train,id_test_vs_cifar100;id_test_vs_mnist;id_test_vs_places365;id_test_vs_svhn;id_test_vs_texture;id_test_vs_tin,paired_auroc_difference,Restoration gaps are paired within-checkpoint AUROC differences between normalized and raw Gaussian readouts.,docs/reference_cards/11_metric_contract_v1_2.md
OOD-7,analysis/restoration_gap_mahalanobis,exploratory,descriptive,id_train,id_test_vs_cifar100;id_test_vs_mnist;id_test_vs_places365;id_test_vs_svhn;id_test_vs_texture;id_test_vs_tin,paired_auroc_difference,Restoration gaps are paired within-checkpoint AUROC differences between normalized and raw Gaussian readouts.,docs/reference_cards/11_metric_contract_v1_2.md
OOD-7,analysis/restoration_gap_relative_mahalanobis,exploratory,descriptive,id_train,id_test_vs_cifar100;id_test_vs_mnist;id_test_vs_places365;id_test_vs_svhn;id_test_vs_texture;id_test_vs_tin,paired_auroc_difference,Restoration gaps are paired within-checkpoint AUROC differences between normalized and raw Gaussian readouts.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-2,geometry/cdnv/mean,primary,down,id_train,id_train,raw_feature,CDNV averages the pairwise ratio of within-class variance to squared class-mean separation.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-1,geometry/feature_norm/classwise,primary,descriptive,id_train,id_train,raw_feature,We characterize radial feature geometry using the full ID-training norm distribution and class-wise summaries.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-1,geometry/feature_norm/global,primary,descriptive,id_train,id_train,raw_feature,We characterize radial feature geometry using the full ID-training norm distribution and class-wise summaries.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-1,geometry/feature_norm/heldout_validation,control,descriptive,id_validation,id_validation,raw_feature,We characterize radial feature geometry using the full ID-training norm distribution and class-wise summaries.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-16,geometry/hypersphere/class_alignment_exact,exploratory,down,id_train,id_train,raw_feature,Class alignment is the class-macro mean pairwise squared distance between L2-normalized same-class features.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-17,geometry/hypersphere/uniformity_t2,exploratory,down,id_train,id_train,raw_feature,"Uniformity is the log mean exponential pair potential at t=2 over three prespecified 100,000-pair Monte Carlo repeats.",docs/reference_cards/11_metric_contract_v1_2.md
GEO-14,geometry/lid_k10,appendix,descriptive,id_train,id_train,raw_feature_exact_neighbors,"LID uses the maximum-likelihood k-neighbor distance-ratio estimator on exact raw ID-training neighbors, with k=50 primary.",docs/reference_cards/11_metric_contract_v1_2.md
GEO-14,geometry/lid_k100,appendix,descriptive,id_train,id_train,raw_feature_exact_neighbors,"LID uses the maximum-likelihood k-neighbor distance-ratio estimator on exact raw ID-training neighbors, with k=50 primary.",docs/reference_cards/11_metric_contract_v1_2.md
GEO-14,geometry/lid_k25,appendix,descriptive,id_train,id_train,raw_feature_exact_neighbors,"LID uses the maximum-likelihood k-neighbor distance-ratio estimator on exact raw ID-training neighbors, with k=50 primary.",docs/reference_cards/11_metric_contract_v1_2.md
GEO-14,geometry/lid_k50,primary,descriptive,id_train,id_train,raw_feature_exact_neighbors,"LID uses the maximum-likelihood k-neighbor distance-ratio estimator on exact raw ID-training neighbors, with k=50 primary.",docs/reference_cards/11_metric_contract_v1_2.md
GEO-4,geometry/nc0_eq12_per_dim,appendix,down,id_train,id_train,raw_feature,NC0 is the Euclidean norm of the sum of classifier-weight rows; scaled expressions are reported only as audits.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-4,geometry/nc0_row_sum_raw,primary,down,id_train,id_train,raw_feature,NC0 is the Euclidean norm of the sum of classifier-weight rows; scaled expressions are reported only as audits.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-4,geometry/nc0_theory_squared,appendix,down,id_train,id_train,raw_feature,NC0 is the Euclidean norm of the sum of classifier-weight rows; scaled expressions are reported only as audits.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-5,geometry/nc1_pinv,primary,down,id_train,id_train,raw_feature,"We report NC1 as Tr(Sigma_W Sigma_B^dagger)/K, using biased within- and between-class covariance estimators computed from raw ID-training features.",docs/reference_cards/11_metric_contract_v1_2.md
GEO-5,geometry/nc1_svd_diagnostic,appendix,down,id_train,id_train,raw_feature,"We report NC1 as Tr(Sigma_W Sigma_B^dagger)/K, using biased within- and between-class covariance estimators computed from raw ID-training features.",docs/reference_cards/11_metric_contract_v1_2.md
GEO-5,geometry/nc1_trace_quotient_diagnostic,appendix,down,id_train,id_train,raw_feature,"We report NC1 as Tr(Sigma_W Sigma_B^dagger)/K, using biased within- and between-class covariance estimators computed from raw ID-training features.",docs/reference_cards/11_metric_contract_v1_2.md
GEO-6,geometry/nc2_equiangular,primary,down,id_train,id_train,raw_feature,"NC2n is the sample coefficient of variation of centered class-mean norms, while NC2a and NC2-ETF quantify simplex equiangularity.",docs/reference_cards/11_metric_contract_v1_2.md
GEO-6,geometry/nc2_equinorm,primary,down,id_train,id_train,raw_feature,"NC2n is the sample coefficient of variation of centered class-mean norms, while NC2a and NC2-ETF quantify simplex equiangularity.",docs/reference_cards/11_metric_contract_v1_2.md
GEO-6,geometry/nc2_etf_eq5_scaled,appendix,down,id_train,id_train,raw_feature,"NC2n is the sample coefficient of variation of centered class-mean norms, while NC2a and NC2-ETF quantify simplex equiangularity.",docs/reference_cards/11_metric_contract_v1_2.md
